Título,Data,URL,Conteudo
EDITAL DE CONVOCAÇÃO PARA A REUNIÃO DA COMISSÃO EXECUTIVA NACIONAL INSTITUDORA,26/10/2023,https://uniaobrasil.org.br/blog/2023/10/26/edital-de-convocacao-para-a-reuniao-da-comissao-executiva-nacional-institudora/,"O UNIÃO BRASIL NACIONAL, por intermédio da maioria absoluta da ComissãoExecutiva Nacional Instituidora, com fundamento nos artigos 62 e 135 do EstatutoPartidário, em função da necessidade de ajuste do calendário da 1ª ConvençãoNacional Ordinária aos prazos legais de migração partidária (6 de março de 2024) efiliação partidária (6 de abril de 2024), a fim de garantir maior segurança jurídicopolíticaaos integrantes e futuros filiados do União Brasil no pleito de 2024, convocaseus membros para a Reunião da Comissão Executiva Nacional Institudora, a serrealizada em 20 de novembro de 2023, às 17h, de forma híbrida, na sede Nacionaldo União Brasil, situado na SHS, Ǫuadra 06, Complexo Brasil 21, Conjunto A, Bloco A,Sala 906, Asa Sul Brasília/DF, CEP 70316-102, ou através de link a ser enviado aosmembros da Comissão Executiva Nacional Instituidora, para a deliberar sobre aseguinte pauta:I. Votação da proposta de alteração do inciso III do artigo 133 doEstatuto, a fim de antecipar a realização da 1ª Convenção NacionalOrdinária do União Brasil para o período de 1º de fevereiro de 2024a 29 de fevereiro de 2024, na forma do que autoriza o art. 135 doEstatuto, mantendo-se inalterados, todavia, os atuais mandatos emcurso;II. Votação da proposta de inclusão no artigo 133 do Estatuto de regraque preveja a possibilidade de convocação da 1ª ConvençãoNacional Ordinária do União Brasil também pela maioria absolutados Membros da Mesa Deliberativa da Comissão Executiva NacionalInstituidora.Confira o documento oficial aqui: https://uniaobrasil.org.br/wp-content/uploads/2023/10/EDITAL-DE-CONVOCACAO-Uniao-reuniao-da-CENI-em-20.11.2023-1a-Convencao-Nacional-Ordinaria-Clicksign.pdf"
"Após articulação do líder Efraim Filho, CAE aprova desoneração da folha de pagamento",24/10/2023,https://uniaobrasil.org.br/blog/2023/10/24/apos-articulacao-do-lider-efraim-filho-cae-aprova-desoneracao-da-folha-de-pagamento/,"Após articulação do líder do União Brasil, Efraim Filho (PB), a Comissão de Assuntos Econômicos (CAE) aprovou, nesta terça-feira (24), a prorrogação, até dezembro de 2027, da desoneração da folha de pagamento para 17 setores produtivos que mais empregam no país. O projeto de lei (PL) 331/2023 foi apresentado por Efraim, no início do ano, e aprovado, pelo Senado, em junho de 2023. Encaminhado à Câmara dos Deputados, a proposta sofreu mudanças e, por isso, foi transformada em um substitutivo.De volta ao Senado, o texto provocou divergências entre os parlamentares, o que estava emperrando a votação da matéria. O líder do União articulou e conseguiu que a CAE rejeitasse o substitutivo da Câmara e aprovasse o texto original apresentado por ele em junho. O objetivo, segundo o parlamentar, era agilizar a votação de um projeto que salva milhares de empregos no país. O projeto segue agora para análise do plenário do Senado e a expectativa é de que a matéria seja apreciada ainda esta semana.“Agradeço a compreensão dos senadores. Essa é uma matéria que dialoga com a vida real das pessoas. O melhor programa de transferência de renda é o emprego; é dar ao pai e mãe de família desempregado uma fonte de renda; é dar ao jovem, que busca a primeira oportunidade, um posto de trabalho para, com o suor de seu rosto, poder colocar o pão na mesa da sua casa”, destacou Efraim após a aprovação da matéria na CAE.O projeto reduz a alíquota da contribuição previdenciária sobre a folha de pagamento de 20% para 8% em cerca de três mil municípios do país. Na versão alterada pela Câmara, a desoneração da folha substituiria a contribuição previdenciária patronal, de 20% sobre a folha de salários, por alíquotas de 1% a 4,5% sobre a receita bruta. Efraim Filho lembrou que, caso a desoneração não seja mantida, cerca de 600 mil brasileiros poderão perder seus empregos.“Sabemos que existem desafios do ponto de vista do equilíbrio fiscal, técnico, orçamentário, contábil, mas o maior desafio do Brasil, hoje, não é arrecadar mais, é gerar emprego, oportunidades e colocar o país no rumo do desenvolvimento, resgatar empregos perdidos. E é com essa realidade que o projeto dialoga”, frisou Efraim Filho.Os 17 setores beneficiados são os de calçados, call center, comunicação, confecção/vestuário, construção civil, empresas de construção e obras de infraestrutura, couro, fabricação de veículos e carroçarias, máquinas e equipamentos, proteína animal, têxtil, tecnologia da informação (TI), tecnologia de comunicação (TIC), projeto de circuitos integrados, transporte metroferroviário de passageiros, transporte rodoviário coletivo e transporte rodoviário de cargas.Texto: Fernanda DominguesFoto: Sidney Lins"
Bancada do União Brasil na Câmara defende leis efetivas contra violência à mulher,11/10/2023,https://uniaobrasil.org.br/blog/2023/10/11/bancada-do-uniao-brasil-na-camara-defende-leis-efetivas-contra-violencia-a-mulher/,"Deputados e deputadas cobraram punições mais severas a agressores em sessão solene pelo Dia Nacional de Luta Contra Violência à MulherCom a presença da bancada feminina do União Brasil, a Câmara Federal realizou sessão solene em homenagem ao Dia Nacional de Luta Contra Violência à Mulher, celebrado na última terça-feira (10). Um dos requerentes do evento, assim como a deputada Silvye Alves (União-GO), o deputado Marangoni (União-SP) citou que uma mulher é vítima de violência a cada quatro horas no Brasil.“Enquanto essa sessão solene estiver ocorrendo, uma mulher estará sendo violentada no Brasil. Esta é a triste estatística que temos em nosso país, infelizmente. Estamos juntos para reforçar o compromisso do Parlamento brasileiro em promover esta importante data e reconhecer que precisamos avançar na luta contra a violência à mulher. Além de garantir que as mulheres sejam respeitadas e que não sejam violentadas em hipótese alguma: sexual, verbal, física, psíquica e patrimonial”, elencou o parlamentar de São Paulo.A coordenadora do Observatório Nacional da Mulher na Política da Secretaria da Mulher, deputada Yandra Moura (União-SE), lembrou ainda que “esses tipos de violência são cometidos por gente de dentro de casa”.“São familiares, companheiros que as mulheres escolheram passar uma vida, que deram amor, carinho e atenção, mas que cometem esse tipo de atrocidade. Os impactos na vida dessas mulheres são desvatadores, começando pela saúde mental. Mulheres que passam por este tipo de violência nunca mais serão as mesmas no sentido psicológico”, lamentou ela.Para a deputada Fernanda Pessoa (União-CE), a igualdade salarial pode ser um meio de reduzir o índice de violência feminina. “Venho de uma região em que o feminicídio é muito alto, principalmente no Ceará. Precisamos trabalhar para que as mulheres tenham condições de igualdade salarial. Eu acredito que, com a igualdade salarial, vamos diminuir o índice de violência. Teremos mulheres independentes financeiramente e é por isso que temos que trabalhar [na Câmara]”, defendeu.Já a deputada Rosângela Moro (União-SP) avaliou que as leis atuais ainda são incapazes de proteger as mulheres. “A tipificação do feminicídio no Código [Penal] foi um avanço, mas não tem sido suficiente. Unamos todas as nossas forças para combater todos os tipos de violência. Não é uma tarefa da esquerda ou da direita, é uma tarefa de humanidade. Precisamos de políticas públicas mais eficientes, de investimentos em educação e em campanhas de conscientização e de uma sociedade mais igualitária”, cobrou a parlamentar.ApoioDurante a sessão solene, deputados manifestaram solidariedade e apoio à presidente eleita do Tribunal de Contas do Amazonas, Yara Lins. Na última sexta-feira (6), ela denunciou ataques verbais proferidos pelo colega Ari Moutinho, que a chamou de “safada” e “cachorra”.“Queria me solidarizar com essa grande mulher, a presidente do TCE do Amazonas, doutora Yara Lins, que foi barbaramente agredida por um cidadão que não merece nosso respeito, merece nosso repúdio”, disse a deputada Fernanda Pessoa.A deputada Rosangela Moro foi na mesma esteira. “Me solidarizo com a sua excelência, a presidente eleita do TCE-AM, Yara Lins. Apresentamos uma nota de repúdio porque nós não podemos mais tolerar essas situações, que acontecem em todos os momentos”, complementou.Filho de Yara Lins, o deputado federal Fausto Santos Jr. (União-AM) falou do papel dos homens no combate à violência contra as mulheres. “Nós enquanto homens temos a responsabilidade e o dever de combater o machismo, a misoginia, a violência contra as mulheres. Precisamos denunciar porque esse tipo de covardia não pode ficar impune. E quando uma mulher é agredida, eu como filho posso dizer que toda a família está sendo agredida”.Ainda sobre o caso de agressão à mãe, Santos Jr enfatizou que a punição ao conselheiro Ari Moutinho deve ser exemplar. “Precisamos combater esse tipo de pessoa, principalmente àqueles que se utilizam de um cargo público pensando que por conta disso vão cometer os seus crimes e ficar na impunidade. Agressores não passarão”, finalizou."
"Exploração sustentável é melhor forma de preservar meio ambiente, defende ministro Celso Sabino",03/10/2023,https://uniaobrasil.org.br/blog/2023/10/03/exploracao-sustentavel-e-melhor-forma-de-preservar-meio-ambiente-defende-ministro-celso-sabino/,"Ministro do Turismo participou nesta terça-feira (3) de audiência no Senado em homenagem ao Dia do TurismoO ministro do Turismo, Celso Sabino (União-PA), defendeu a “exploração econômica com turismo sustentável” como “melhor forma de preservar o meio ambiente”. A declaração foi dada nesta terça-feira (3), durante audiência no Senado em celebração ao Dia Mundial do Turismo.“A melhor forma de preservar o meio ambiente e os biomas do Brasil é através da exploração econômica com turismo sustentável. O cidadão que mora na floresta, às margens de uma nascente, na hora que tiver a oportunidade de proporcionar à sua família a mesma condição de desenvolvimento econômico e crescimento social de que quem mora na Avenida Paulista, em São Paulo, na Avenida Brasil, no Rio de Janeiro, que interesse ele vai ter em derrubar a sua fonte de renda? É por isso que o turismo sustentável precisa ser fortalecido”, afirmou.O líder do União Brasil no Senado, Efraim Filho, e os deputados federais Saullo Vianna e Moses Rodrigues também participaram do encontro.Dia Mundial do TurismoO Dia Mundial do Turismo, comemorado em 27 de setembro, foi instituído em 1980 pela Organização Mundial do Turismo (OMT). É uma data que busca promover a conscientização sobre a importância do turismo sustentável e seu impacto positivo na economia, cultura e desenvolvimento das nações. Esse dia proporciona oportunidade única para celebrar as conquistas do setor de turismo e discutir desafios e oportunidades para o futuro.No Brasil, a Fecomercio-SP calcula que as empresas do setor no país faturaram R$ 112,4 bilhões nos primeiros seis meses de 2023."
"Em palestra à Câmara Americana de Comércio, Efraim Filho defende reforma tributária com “cautela” e “maturidade”",25/09/2023,https://uniaobrasil.org.br/blog/2023/09/25/em-palestra-a-camara-americana-de-comercio-efraim-filho-defende-reforma-tributaria-com-cautela-e-maturidade/,"Líder do União Brasil no Senado defende aprovação de texto sem aumento de impostos e que não trave crescimento econômicoLíder do União Brasil no Senado, Efraim Filho (União-PB) afirmou nesta segunda-feira (25) que o sentimento é de “cautela” e “maturidade” para votação da reforma tributária. A declaração foi dada pelo parlamentar durante painel de debates promovido sobre o tema pela Câmara Americana de Comércio, em São Paulo.“O sentimento no Senado Federal é de que vamos ter muita cautela, muita maturidade e também muita percepção de que não vai aumentar inserções ou isenções só por aumentar. Será muito difícil que haja um novo regime especial sem estar plenamente justificado, exceto se houver avanço para aperfeiçoar o sistema. Ou você traz um regramento de cadeia produtiva ou então você retira tudo”, afirmou.Efraim Filho, que é coordenador do grupo de trabalho da reforma tributária na Comissão de Assuntos Econômicos, ressaltou ainda que percebe o mesmo sentimento por parte do relator da proposta no Senado, Eduardo Braga (MDB-AM). “Vejo ele muito compenetrado nesse tema, no sentido de compreender toda a extensão do que esses regimes especiais poderão conceder”, pontuou.Apoiador da reforma tributária, o senador Efraim Filho defende caminhos que levem à aprovação de um texto que não gere aumento de carga tributária ao setor produtivo, nem cause entraves ao crescimento econômico do país. “A reforma tributária é um tema complexo e existe um consenso indiscutível: o modelo atual é arcaico, obsoleto, ultrapassado. Não adianta remendar tecido podre, porque vai rasgar. A reforma tem que ser feita para facilitar a vida de quem produz, do cidadão brasileiro, daquele que paga impostos”, completou ele."
Nicoletti lança Frente Parlamentar em Defesa do Trânsito Seguro,21/09/2023,https://uniaobrasil.org.br/blog/2023/09/21/nicoletti-lanca-frente-parlamentar-em-defesa-do-transito-seguro/,"O parlamentar será o presidente da Frente nesta legislaturaO deputado federal Nicoletti (UNIÃO-RR) lançou na última terça-feira (19), na Câmara do Deputados, a Frente Parlamentar Mista em Defesa do Trânsito Seguro. A Frente foi instituída com o objetivo de propor medidas e ações para reduzir as mortes e lesões no trânsito das cidades e rodovias brasileiras.O evento contou com a presença de parlamentares, especialistas, representantes de órgãos e entidades do Sistema Nacional de Trânsito e de organizações da sociedade civil, que se comprometeram na realização de debates e estudos visando o aperfeiçoamento da legislação e de ações em prol do trânsito seguro.O deputado Nicoletti (União-RR) destacou que “a iniciativa busca garantir o direito à segurança de todos nas vias terrestres do nosso país. Além de legislar, precisamos promover ações de educação no trânsito, iniciando desde cedo com nossas crianças, realizar atividades de fiscalização com foco na redução de sinistros de trânsito, assim como intervenções na infraestrutura viária, com sinalização e traçado adequado, a fim de reduzir a violência e preservar vidas no trânsito brasileiro”, disse o parlamentar, que é policial rodoviário federal.O coordenador do grupo enfatizou: “a educação no trânsito é uma das minhas principais bandeiras. Desde que entrei na PRF, a quase dez anos, ministro palestras sobre o tema para nossas crianças, adolescentes e jovens. Fui eleito deputado em 2018 e continuei nessa missão, porque acredito que é por meio da educação que podemos mudar o comportamento das pessoas. Não adianta apenas aplicar multas e reprimir; precisamos sensibilizar e conscientizar”, afirmou.Durante o evento, Nicoletti defendeu ainda maiores investimentos em políticas públicas voltadas à segurança no trânsito, envolvendo as atividades de educação, fiscalização, melhorias na infraestrutura e engenharia das rodovias. “Um fator que impacta significativamente na saúde pública é que grande parte dos leitos hospitalares está ocupada por vítimas de acidentes de trânsito. Por isso, os investimentos no trânsito são fundamentais para salvar vidas e desafogar os hospitais, com benefícios para toda a população.A Frente Parlamentar Mista em Defesa do Trânsito Seguro é uma das mais antigas da Câmara dos Deputados, com mais de vinte anos de atuação. Ao assumir a presidência, Nicoletti agradeceu a confiança e o convite do deputado Hugo Leal, que presidiu a Frente nas últimas legislaturas e se licenciou para conduzir uma pasta no governo do Rio de Janeiro. “Assumir a presidência da Frente é uma grande honra e responsabilidade, não apenas por ser policial rodoviário federal, mas por acreditar que precisamos reduzir os índices de violência no trânsito. Agradeço ao nosso deputado Hugo Leal pela confiança e por todo o trabalho já feito em prol do trânsito brasileiro”, destacou."
"Pelo 2⁰ ano consecutivo, Mato Grosso é o estado com a melhor gestão fiscal do Brasil.",18/09/2023,https://uniaobrasil.org.br/blog/2023/09/18/pelo-2%e2%81%b0-ano-consecutivo-mato-grosso-e-o-estado-com-a-melhor-gestao-fiscal-do-brasil/,"Pelo 2⁰ ano consecutivo, Mato Grosso, governado por Mauro Mendes (UNIÃO-MT), é o estado com a melhor gestão fiscal do Brasil.Isso se deve aos esforços que o time do União Brasil está fazendo desde 2019, quando tirou o Governo do buraco para hoje ser o estado que mais investe em obras e ações voltadas ao cidadão."
Wilson Lima lança ‘Amazonas + Alfabetizado’ e avança em ações para reforçar qualidade do ensino,18/09/2023,https://uniaobrasil.org.br/blog/2023/09/18/wilson-lima-lanca-amazonas-alfabetizado-e-avanca-em-acoes-para-reforcar-qualidade-do-ensino/,"Na presença do ministro da Educação, Camilo Santana, e de prefeitos e representantes dos 62 municípios do estado, o governador Wilson Lima lançou o “Amazonas + Alfabetizado”. O objetivo do programa é reforçar a qualidade do processo de alfabetização de crianças até o final do 2º ano do Ensino Fundamental, beneficiando 360 mil alunos das redes estadual e municipal do Amazonas.A cerimônia de lançamento do “Amazonas + Alfabetizado” e adesão dos municípios ao programa foi realizada nesta terça-feira (22/08), no Centro de Convenções do Amazonas – Vasco Vasques, na zona centro-sul de Manaus. Wilson Lima explicou que o programa faz parte da Política de Alfabetização do Amazonas, que integra o Compromisso Nacional da Criança Alfabetizada (CNCA), do Governo Federal.Amazonas + AlfabetizadoO novo programa será implantado pelo Governo do Amazonas por meio de termos de cooperação técnica firmados com os 62 municípios do estado. Entre os compromissos firmados, estão a articulação, padronização e utilização de materiais pedagógicos e livros didáticos e a formação continuada de professores, pedagogos e diretores escolares."
"Na semana do trânsito, Nicoletti lança Frente Parlamentar em Defesa do Trânsito Seguro",18/09/2023,https://uniaobrasil.org.br/blog/2023/09/18/na-semana-do-transito-nicoletti-lanca-frente-parlamentar-em-defesa-do-transito-seguro/,"O deputado federal Nicoletti (UNIÃO-RR) lança nesta terça-feira (19), a partir das 14h, na Câmara do Deputados, a Frente Parlamentar Mista em Defesa do Trânsito Seguro. A Frente será instituída com o objetivo de propor medidas e ações visando à redução das mortes e lesões no trânsito das cidades e rodovias brasileiras.Durante o evento será apresentado um panorama atual da segurança no trânsito no Brasil, apresentação de estatísticas e dados relevantes, desafios e oportunidades na Legislação de Trânsito, discussão sobre as leis e regulamentos vigentes, bem como propostas para aprimorá-los.Para o deputado Nicoletti, “a iniciativa busca efetivar, ampliar e garantir o direito à segurança de todos nas vias do nosso país, bem como promover discussões sobre as responsabilidades dos órgãos e entidades do Sistema Nacional de Trânsito na implementação de medidas essenciais para assegurar a segurança no trânsito brasileiro”, destaca o autor da frente, que é Policial Rodoviário Federal.O evento marca um importante passo na busca por soluções para a segurança no trânsito no Brasil e contará com a presença de parlamentares, especialistas, entidades e organizações da sociedade civil em um debate a cerca de estudos e projetos para o seu aperfeiçoamento.Semana do TrânsitoO lançamento da Frente acontece na semana do trânsito, que acontece entre os dias 18 a 25 de setembro. Este ano a campanha educativa de trânsito teem como tema: “No trânsito, escolha a vida”. O intuito é mobilizar a sociedade na busca pelo desenvolvimento de valores e posturas em prol de uma cultura de segurança no trânsito mais sólida e consistente."
Deputado Marangoni representa a Câmara dos Deputados em Missão Oficial na Alemanha,30/08/2023,https://uniaobrasil.org.br/blog/2023/08/30/deputado-marangoni-representa-a-camara-dos-deputados-em-missao-oficial-na-alemanha/,"Parlamentar paulista participará do Urban Care, em BerlimVice-presidente da Comissão de Desenvolvimento Urbano (CDU) da Câmara dos Deputados e Presidente da Frente Parlamentar do Desenvolvimento Urbano Sustentável, o deputado federal Marangoni (UNIÃO/SP) embarca nesta segunda-feira para a Alemanha onde irá representar o parlamento brasileiro no Urban Care – Diálogos com o Brasil.O parlamentar foi convidado para participar do evento a convite dos organizadores. O encontro será realizado de 28 de agosto a 1.º de setembro em Berlim e terá a participação de 12 municípios brasileiros. INCUBADORA URBANAOs Diálogos UrbanCare é uma incubadora urbana para criar projetos para investimento em saúde e bem-estar considerando aspectos de sustentabilidade nas cidades. Representantes do governo local terão reuniões com consultores de saúde urbana e climática e agências de desenvolvimento.A programação também se dedica ao desenvolvimento de colaborações internacionais e intercâmbio entre os diversos participantes para garantir que as propostas para a ocupação de espaços públicos e projetos urbanos sejam inclusivas, ecológicas e passíveis de financiamento.TEMAS ESSENCIAIS“É uma honra receber o convite e integrar este evento que é referência na área de urbanização. Vamos discutir temas essenciais para o futuro das nossas cidades com base em evidências técnicas e experiências bem sucedidas em diversos países. Sabemos da importância desta temática para melhorar a urbanização, alavancar o desenvolvimento econômico e a inclusão social. Temos muito a acrescentar e aprender para trazer o que há de mais eficiente para a realidade brasileira”, afirmou Marangoni.EXPERIÊNCIA INTERNACIONALO deputado, que é fluente em inglês, espanhol e italiano, tem experiência em reuniões e conferências internacionais. Quando secretário executivo de habitação do estado de São Paulo, representou o governo apresentando projetos exitosos em diversos países da América Latina, na Guatemala, em Abu Dhabi, nos Emirados Árabes e na África do Sul. Na Alemanha, Marangoni terá reuniões bilaterais com representantes de governos, parlamentares estrangeiros e especialistas em urbanização. Fonte: Assessoria do deputado."
